"n"	"dream"
"001-1"	"#001-1 I was in a living room with my several friends. It was almost 9pm. Friend A asked me what I was going to do that night. I said that I was planning to watch Richard Wagner's symphony on TV. Soon, the program began. But the music sounded more like Gustav Mahler's. He is my favorite composer, but I didn't know for sure which symphony was being played. I just knew it was Mahler's, but not Wagner's. TV was showing pictures of the cosmos and a woman in white dress dancing. The woman seemed to be lost to meditation. It was an extraordinarily beautiful sight. Everybody else in the room gazed at the screen. I was still trying to figure out whose music it was. When the first movement ended, TV screened the title of the second movement. It had a name of some comet, which I was not familiar with. But I understood that the music was Gustav Holst's, ""The Planets."" (This is ridiculous because no movement in ""The Planets"" has a name of unknown comet.) Suddenly, I heard an alarm and noticed that the whole room was trembling. I went out of the room and found that I was inside of a big battleship. Many people in uniform were running around in a panic, but I remained calm, looking at the terrible scene wondering why they were so flustered. I went to the deck. It was still dark and the ocean looked very peaceful."
"001-2"	"#001-2 I was in my junior high school. We were supposed to bring foods for a cooking class. But no one in my group knew and brought anything. The school had a school lunch program and pots and pans had been already brought in and the classroom was filled with the smell of food. The teacher said that since we were going to have a cooking class, we didn't need foods provided by the school. I had to take a big heavy pan filled with some soup back to the food serving center. I was walking through a hallway. I was not in my junior high school but in my elementary school. When I finally arrived at the place where the center was supposed to be, I noticed that the school had been reconstructed and I had to go still further. The hallway was colored in green and seemed to lead to nowhere. It was like the yellow brick road in the Land of Oz. I crossed many hallways and each was a different color. The last hallway I crossed was colored in blue with a faint light. It had the name, ""Snow Road."" It was beautiful, and I thought that I had better tell my friends about this hallway when I got back to the classroom. I was now standing in a big hall. The green road forked off in several directions. One of them led to the harbor. I saw a man in a suit and asked him if he worked there. He said that he was supposed to see the principal but had lost his way. I said that since I was a student there, I might be able to help him. He said it was ok and disappeared. I saw the food serving center far in the right direction and walked toward that direction. When I finally arrived at the center, I asked a woman where I should put the pan. She said that I had to pour the contents into another pan. I did as she said, but the pan was not big enough. I left both pans on the table anyway. When I was washing my hands, I saw a teacher coming. I didn't know why, but I pretended that I was working for the center. I went out of the center and saw the man in a suit in the room next to the center, talking with the principal. I came back to the big hall, but I didn't know which road led to the classroom. I took the straight road and continued to walk. I passed the harbor. I was in a downtown area, which didn't look like Boston's or the downtown of any other American city. I knew that I had lost my way, but I kept walking. I was now walking through an alley. I thought that if I knew where the Prudential was, I could find my way. Since I was surrounded by buildings, I couldn't see anything. Then a truck came into the alley. I was almost killed. I saw another truck beyond the building and asked the driver if he could see the Prudential. He didn't hear me. Someone else answered. It was the voice of the driver of the first truck. Then, I saw the city of Boston far away. I asked him if he could give me a ride to Boston. He said that we were on a highway and had to turn around at the next intersection. We walked toward the intersection. The roads were too narrow, but the driver managed to turn the truck and I jumped in. I told him that it might be dangerous to use this highway, especially during rush hour. He said that since no one in Maine went to Boston for work, there had been no traffic jam on this highway."
"001-3"	"#001-3 I was about to take a plane to London with three of my friends. But the plane had already taken off. We followed the plane by car through the streets and finally managed to jump in it. It was a small plane without one [illegible] . Since there was no pilot, friend A had to fly the plane. When I looked down, I saw a map. We were flying over the big map. I could see the details, such as the mountains, the rivers, the deserts, and the forests, but not a single town. They looked real, but I knew that it was a map. We flew over the Middle East through Eastern Europe. Finally, we reached Siberia. All I could see was the frozen forest and I felt chilly. We wore as many clothes as possible. Then, we noticed that we were short of fuel. So friend A decided to make a landing. Landing went smoothly, and we landed in some unknown town. We went to search for fuel and came across a mansion. We entered the mansion and found out that it had been deserted. Somehow I felt alarmed and started running. There was no light inside, but something like lightning flashed once in a while. I knew that someone was following me. I could hear the footsteps. I finally got out from the mansion and found a hut. My friends were already there and there was also a middle-aged man. We asked him if he could spare us fuel. He wanted something (I can't recall what it was) in return. When we were ready to go on our journey, we saw the fuel tank of the middle-aged man blow up with a terrific explosion. Someone had shot the tank with a machine gun from the bush. No one was hurt."
"001-4"	"#001-4 I was in my grandfather's house. (He has been dead for six years.) I was lying down on a bed in a living room. It was an old studio, with which I was not familiar. I got up wondering which I should do: go back to sleep or study for a literature exam. My grandfather was cooking something. I noticed that two of my cousins also were there. One of them asked me if I wanted to have dinner with them. I said that since I had an exam the next day, I had to go home and study. They gave me a ride. It was dark outside. When we came closer to a tennis court, we noticed that there were many people both inside and outside the tennis court. We stopped the car and I went to see what was going on. I saw David Bowie talking to someone on a bench outside the tennis court. I entered the tennis court. It looked like a concert hall in the open air and was crowded with people. I found a friend of mine from high school and asked him what was about to happen. He said that David Byrne was expected to give a concert. Since he was not my favorite musician, I left the tennis court. On my way back to the car, I saw David Byrne singing and dancing a weird dance. I thought that the lighting was beautiful."
"004-1"	"#004-1 I was at my cottage down the cape with my whole family (cousins, aunts, uncles, etc.). We were having a cookout on the deck, buffet style. But when I took a plate and walked along the table, the food consisted of turkey, cranberry sauce, mashed potatoes, etc. There was no regular ""cookout food."" I also remember getting ready for the cookout and looking in the mirror. I was about 30 pounds heavier and my hairstyle was awful. I was ugly and fat."
"004-2"	"#004-2 I went camping with my boyfriend and a few friends. We were falling asleep in the tent when I noticed a few frogs creep into the tent through a hole. I woke up my boyfriend and for some reason everyone was blaming me for the frogs. By then they were all over the place, jumping on our heads. The next thing I knew we were driving home with all the frogs in the car because I wouldn't let my friends kill them. I made them pull over so I could toss them into a stream off the side of the highway."
"004-3"	"#004-3 I was at an amusement park and I went on the water slide. But it wasn't the kind that you sat or lay down. You stood up, kind of like waterskiing. Anyway, it was crazy, and there was no way anyone could last this ride. The slide itself was metal and I remember looking around, and it looked like I was inside a factory or something. (Now comes the strange part.) I made it through the whole ride and landed in a pool of water. I went underneath and came up, and there was Michael J. Fox in the water with me and we started kissing. I guess he was my boyfriend or something. We just swam and kissed the rest of the dream. (???)"
"004-4"	"#004-4 My sister, Lauren, my mother and myself were at some sort of graduation exercise outdoors. We were driving there and we parked alongside a steep hill. I looked out my window, and I could see the caps and gowns below. For some reason we didn't get out of the car. We noticed a brown station wagon parked behind us. There were two men in the car. They appeared to be packaging drugs and putting them in the trunk. My mother and sister were in the front seat and were staring at them in the rear view mirrors. The guys saw them looking. They jumped out of the car and ran over to us with guns. I yelled, ""Duck!"" and they shattered our windows. My mother screeched away and they hopped in their car and followed us. We finally lost them. Next thing I knew we're at home and the doorbell rang. The driver of the station wagon came in. He was wearing a blue T-shirt and army pants. He had tattoos all over his arms. I pretended to like him and told him I wasn't interested in going to the police. I told him I was very attracted to him and I wanted to be his girlfriend. He believed me. He kissed me. He was gross. Then I woke up."
"006-1"	"#006-1 I had a dream that I was riding on a ski lift with other people. I don't think I knew the people. I was going to class but it took a long time to get there. It became scary for a while because something was wrong with the ride. I remember thinking that I shouldn't have gone on the ski lift, that I should have walked instead. I think by the time I got to class, it was over. I remember leaving some of my things on the ride but there was no way for me to get them back."
"006-2"	"#006-2 I had a dream that my friend and I were walking in my neighborhood all dressed up ready to go somewhere. We were passing some of my neighbors, just saying hi to them. We went to one particular neighbor's house. We both had trouble getting up to his front step. We had to struggle. (This neighbor does have a steep driveway.) There were dirt and rocks involved like we were trying to climb a mountain. We asked him if he would take us out to a club. He told us he could get us into some club. He said he would drive us, but we said that my friend would drive because we know how he drives (crazy)."
