"n"	"date"	"dream"
"1949-001"	"n/a"	"#1949-001 We are standing in front of a hotel at a resort and we have to take a boat to another beach where it is 'calm,' but there is a big storm with breakers out at sea and there are French doors closing off the exit from the boat house to the sea. I remember holding the doors closed against the onslaught of the breakers. Later everyone has to leave the boat house and then, in a few minutes, a huge wave tears the boat house away and whips it out to sea. Only the boatman and a few stragglers remain and they are eventually saved. We must stay at a hotel."
"1949-002"	"n/a"	"#1949-002 Dr. Brooke (thesis advisor) asks me to go to a night club called ""Iowa Park"" where they usually drink till 4 AM. I don't want to go but he said that he would not look at my paper otherwise. He even buys me a tiara! Shift: Mother is still alive (she died 4/13/47). She prevents me from going. She is jealous and she wants me to help her clean the house."
"1949-003"	"n/a"	"#1949-003 I am a queen: much admired. M. (lover) is at my side and service. Feeling of ultimate achievement. Shift: Mrs. Jones (professor and supervisor) has died. Mr. Jones is very bereft. I offer him help and services. Much ado about it all. The newspapers carry headlines and are tacked up all along the corridor of the psychology department. Bouquets of flowers sent. General feeling of sorrow. I am consulted by Mr. Jones about the funeral arrangements and then offer to go to live with him in his house as I am divorcing Edward (first husband)."
"1950-001"	"n/a"	"#1950-001 Driving to mountains with Edward; we go ahead while mother-in-law and my father follow. Father is in a hearse, dragged along the ground by a truck. He said he liked it that way. W. and I have a regal meal but W. forgets to give some to father. I insist even though I realize that he really is dead already. (Reality: he died 1949). Shift: I meet K. (old lover); we drive together and then walk down the mountain. We find a spot that was 'only waiting to be painted by Cezanne (very vivid impression). It is a Doge-like palace in yellow and greens in Cezanne's style. A house by the sea. K. and I swim in this warm water standing on a sand bar and gradually pushes us back against the house; also see my brother somewhere in the background of the house. Shift: I invite K. to stay at our place in L. City telling him that no one will be there, but when we arrive Mrs. L. (our renter) is asleep and father is in my brother's bedroom. Therefore K. is 'forced' to stay with me in my bed. Remember only a few kisses. In the morning father worrying about Mrs. L.'s political views."
"1950-002"	"n/a"	"#1950-002 Parents 'come to life' out of the grave, despite having been cremated. Father looks the same and mother tries to run my life again. They don't seem astonished. I understand that Forest Lawn is being sued for burying them alive! Shift: I walk along a ramp with A.S. (University instructor) and think of him as my therapist. He says, ""In two years mother's cancer could have been cured,"" but he can't explain it. He is very understanding. At home mother sees a daughter born after mother's death and she says: ""So that is what you have been up to."" Much commotion and people. Feeling of incredulity; how could it have happened? But no guilt."
"1950-003"	"n/a"	"#1950-003 Father is shopping with me; he has to borrow $60 from me to buy me a pair of shoes, green shoes I believe."
"1950-004"	"n/a"	"#1950-004 Mother, Father and I with my analyst on a lawn. Mother did all the talking. My analyst and I chuckle, as if to say we knew better."
"1950-005"	"n/a"	"#1950-005 I have lunch with father; realize that he is dead, but he looked as real as life. Shift: I am on a boat, but the boat is sinking; I am already in the water, so why do I not drown? Shift: I eat supper out, alone: 'free feeling.' Meet Borris (research fellow student) I show him my drawings of faces and he thought they were very good."
"1950-006"	"n/a"	"#1950-006 At Marita's birthday party in a nice home -- phone rings. Father says, ""There is an international crisis. The gas has been shut off in New York. It is grave."" Mother comes to the phone, ""Hurry home; but don't forget to buy 12 gallons of gas for the car and stock up in case of shortages."" I felt relieved and anxious both."
"1950-007"	"n/a"	"#1950-007 We are standing on a stone ramp with a view of the ocean; there is a storm and we see tremendous whale and sabre-toothed sharks leap out of the water and swim so close you could touch them. I comment on how dangerous they look and how close we are to a radar detector device located right next to an atomic plant. Fear. Many security regulations. Then there is a strike in a plant and there are streams of refugees coming in by train. We discuss the Jewish question, but I am mostly worried because I cannot call our baby sitter because we are not to use the phone for fear of leaving fingerprints. Great tension."
"1950-008"	"n/a"	"#1950-008 Mother returns home. I tell her that my brother Ronald is running the house and therefore she should not boss him too much. Shift: In a rickety old plane with Marita; and there is an old man, a bum, on the plane who has to go to the toilet urgently, so the pilot carefully lands the plane on a bridge. (Vivid image of flying inside the bridge span). We land safely and no one is hurt; the bum is carried across the street to a man-hole and already a huge bowel movement is coming out and they are much too wide for a human bowel--feeling of terrible disgust and upset at the sight."
"1950-009"	"(9/50)"	"#1950-009 (9/50) Riding in a car at great speed, releasing a torrent of water to flood garden for irrigation purposes because a river has been rerouted? Shift: at a ballet class. I dance for M. (friend and lover). I do a sort of scarf dance. M. is delighted and enthralled. We sleep together."
"1950-010"	"n/a"	"#1950-010 E.C. (a popular psych teacher) is conducting a new class in psychology to a very large group of students; they hang on her words as she walks about and through the rows of seats. I am an observer and sit in various seats. She is radiant with a new hairdo. She ends the lecture with a simple prayer. She holds a cross in one hand and a pair of scissors in the other and asks that we all may learn to understand Jesus' teachings better. Silence. Then students crowd around her and I walk away with her, feeling very elated."
"1950-011"	"n/a"	"#1950-011 I am in a swimming pool and feel the water slide by me as I swim with long even strokes the whole length of the pool; very pleasant. I am practicing to become a world champion and succeed in doing 16 laps. My trainer says that is pretty good, but I still have a long way to go. I watch two teams compete in a swim meet; one is cooperative, the other individualistic. The first team wins!"
"1950-012"	"n/a"	"#1950-012 In a field at a family picnic; a 3-year old boy asks if Jesus Christ was a great psychologist? Indeed, he was one of the greatest!! I explain it in child's terms and get flowing thanks from him. Shift: We are back in Vienna. We are lying on cots on high balconies looking out over the city. See the church spires, the dome shaped ""Karlskirche' and the ""Votiv Kirche."" I suddenly realize that there are no floors to the balconies. I look down and am scared of falling down. (uneasy feeling throughout). Shift: Stairways to heaven; I am going to heaven with various people. But I must abide by very complicated rules and have to stay in heaven after the third trip."
"1950-013"	"n/a"	"#1950-013 Our upstairs neighbor comes into my bedroom and we start to have sex; just then someone knocks at the door. Our roomer says that someone needs to use my phone in my bedroom. I rush out furious. ""I am still asleep. Don't disturb me."" I rush back wildly and start locking the door. Remember turning the key in the lock but it won't snap closed. I try again and again and hold the door tightly closed against the intruder. Eventually by force and patience I succeed in locking the door. I return and we spend some wonderful moments together. Ride through lovely country."
"1950-014"	"n/a"	"#1950-014 Our upstairs neighbor (lover) walks past me to go upstairs. He looks fatter and different. I am so happy. Run upstairs and we go to bed. But downstairs there is a party and many people. Later see him with a girl with lovely legs and small feet, standing on tip toe, with whom he danced and was very much in love."
