"n"	"dream"
"3976"	"(2013-01-26 (22)) Somehow, Tyrion (Game of Thrones) and I were romantically involved. We would sneak off to these other castle buildings -- there was a big castle thing which was the main place and then there were lots of little buildings around. We were sitting in one, holding each other and talking. He wanted to give up his inheritance to run off with me. Later, we walked out of the castle together and people were watching, so I said ""I'll go walk around and meet you"" and smiled. We split up and I walked to the right to walk around the buildings and go through a back entrance. Some people followed me though."
"3977"	"(2013-01-26 (22)) I had a job at 4.30am. I was telling Mom that I needed 'Aero Grad' and a thing to kill bugs. Darren was in bed and saying they would get some and I was like 'before 4.30am?'. Mom was getting ready to meet someone. I realized it was 6.30am and that it was too late now. Then I realized the job was actually next week. We lived in an apartment block and there was some dodgy guy on the roof and the police had the building surrounded."
"3978"	"(2013-02-01 (22)) I woke up with my tooth loose in my mouth. I ran my tongue over my teeth, but couldn't work out where it had come from. I looked in the mirror and half of my bottom teeth were missing -- on the right side, I had a back tooth and the first non-molar, and on the left side I had random gaps. I couldn't feel any difference with my tongue though. I went to Mom and was telling her and I broke down, crying. She hugged me and seemed visibly distressed for me."
"3979"	"(2013-02-03 (22)) I was at home, alone, at night. I heard weird noises and caught a glimpse of someone out the back. I text Mom and told her to hurry home. I was sitting on my bed. Then I heard more noise and a guy came into my room. He was quite tall and blonde and was wearing a silver wedding ring and had big hands. He crouched at the bottom of my bed and said he wasn't going to hurt me. He started talking about something random that seemed vaguely familiar. I heard Darren's scooter pull up outside and he asked what it was and I asked if I could check if the light had gone on outside. I opened my curtain and said that Darren was back. He took my mouse as a 'hostage' and walked off. I pulled it out of the computer as he walked away so it wouldn't pull and said 'no, please'. He went out the back and said he needed to stay for a while. I went out to greet Darren. The guy turned on the back light and walked outside the window in the back room. Darren didn't seem fazed. He stayed a while (days or something), and he was kind of cute and I would keep looking at him and he'd look at me and I'd look away. There was some tension there. One night he kissed me and I resisted, but he kept going and I gave in and we had sex. There was some movie set on this boat. The people finally managed to escape and got onto a lifeboat and started going towards this thing, but someone shot it and it exploded. Some people landed in the water and they got trapped by this spiky defense mechanism."
"3980"	"(2013-02-09 (22)) I was at the shops and it was busy. Nana was there, but she was going senile or something and kept staring into the distance or would just walk off. I kept losing her. We went down to the carpark and I tried to get her to stay in the car. Then I was home, but it was different. There was a pink and nicely decorated letter at the door for me. It was from Zander. I then had a 6 year old daughter, which I'd had with Zander -- we had had sex at school and I'd had an abortion by taking a bunch of pills, but somehow the kid came back. Some guy was wearing a shirt from The Mercenary. I thought it was cool and was talking to him outside."
"3981"	"(2013-02-17 (22)) I was at a stocktaking job at an IGA. I had done this one before but didn't realize until I went in. There was a muffin shop next door and there was a guy dressed as a muffin and dancing around. Esther joked that this job would take 30 hours. We had trolleys to take around with us. Elijah was there. I went to an aisle but had forgotten to put my stuff down and get a scanner."
"3982"	"(2013-02-23 (22)) I was at Leederville IGA [I had to cancel the job which was tomorrow] . I was having trouble with my sore arm and after 2 hours I was still stuck on the same shelf and kept knocking stuff off. I was having problems with the ladder too. Calvin was there. I went to get Co-Worker-F-02 to ask her to go home. She was upstairs at the back of the store. There were bedrooms and hers was empty and the light was off. I heard a noise and went back to the stairs but then she came out of one of the other rooms in a costume -- it was Halloween? She said she would normally cover up with makeup when she was dressed up, but this costume covered up her face and I said ""it saves time"". I explained to her about my arm, but she just got some other people to do my shelf and I was unsure of whether I could leave or not."
"3983"	"(2013-03-01 (22)) I was working at the bar, which was different. A guy asked for a Corona with lemon, and it was actually this weird thing that I had to mix with baked beans, but I think he just wanted lemonade and a cake. The queue was building up and I saw Cute Irish Guy (Kieran) there. He had a name badge on saying 'Lincoln F', which I thought was a weird name for an Irish bloke and wondered what his last name was. I finished making the Corona and left it. I gave Kieran his Budweiser and as he gave me a $20 note, his fingers lingered on mine. He said his usual ""thank you very much"" and walked off without his change. I put it aside. There was a gambling thing going on upstairs. The guy hadn't come back for his Corona thing and someone said he'd won the jackpot and left. An Asian lady told me to follow her through what looked like a ventilation system. I tied my hair back and people queued up behind me impatiently. I started climbing through and some parts squished my head. Climbing down pipes was easier and then it was like a game. I got to the bottom and then the lady was like 'just up here' and it was a long way up. I couldn't be bothered with it and 'paused' the game for now."
"3984"	"(2013-03-05 (22)) I lived at a house with Mom near some woods. Outside we had a self-serve petrol station. It was night. I pulled in and filled up my tank. The neighbours across the road were outside in groups complaining to themselves loudly about our porch light. We turned it off and yelled out 'you could've just asked us, retards!'. Then they left their porch light on. Later, we were both in bed (we were sharing a bed) and Rover was there too. I heard a guy outside talking with a young girl (6 years old or so). I nudged Mom and told her the window was open. She didn't get up, so I finally got up and closed it. The voice was Stephen Merchant's, but it was the past, before he got famous and he was kind of insane. He was saying that he was going to let everyone know the difference between 'a condor and a girl getting raped'. Mom didn't stir and I thought that was weird. I thought about offering myself up because I wouldn't mind getting in bed with him, but then thought he might be violent/crazy etc. At one point he said he graduated here with comedy honours."
"3985"	"(2013-03-14 (22)) I was at a shop or something. Trey Parker and Matt Stone were there, signing stuff. Someone had a Cartman plush toy and I had the same one. They made fun of my accent. Dad was elsewhere and I was waiting for him."
