"n"	"dream"
"A-001"	"#A-001 (1999 (14)) I was at school with Mom, and her and I were up at this little mixing room type of a thing, up above on the third floor of the main building. But it was really supposed to be a computer lab. Anyway, sorry about that saw in the background. Anyway, Mom and I were in this room, and she bent something like a computer that makes it really stand out, and she has to get help from Uncle Larry. I think this is how it went. It was so complicated, I can't even remember it. But anyway, she makes the computer stand out, and Uncle Larry comes up and is criticizing me because I don't ever work with him on anything, and isn't going to help us now. Matter of fact, he threatens to activate the alarm system. And then I think somebody was riding around outside in a little golf cart thing like the administrators do, and for some reason or other we had to get out of there quick because he did something else with the computer that was going to start this virus thing going around the school. And so we got on this golf cart and we just drive, and I didn't recognize, and we went downstairs via the elevator into the library. Then we were talking with Mrs. Talmadge and she said that I had this problem with rocking back and forth, which I don't, but that the problem was common with blind people, but I don't have it. And Mrs. Talmadge said that I had a problem with rocking back and forth and that we needed to work on that."
"A-002"	"#A-002 (1999 (14)) And just last night I had a dream that Mom was filling up the gas tank of our red and white '55 red Chevy, and the ringer was down and she leaned in and said, ""Go on home. I'll meet you at home."" So the ignition started up by itself and I floored the accelerator and I started going 60 and 70 miles an hour on a regular city street, and before I knew it, I was going 90 or 100 and I suddenly screeched on the brake and I spun around and spun around and spun around, and I'm like, ""Oh no, am I crashing?"" And I woke up."
"A-003"	"#A-003 (1999 (14)) I dreamt that I was going to stay overnight in a fireman's house up north, and that I was packing my bed and stuff and getting in a tiny little car and going. When I got there, there were three other girls, and they had a swimming pool, but the house was real tiny, and it was a two-story house. It was kind of like I was living in this -- you know how movies are kind of gray sometimes? Well, everything looked gray. And I got there and there were three colors (?) by the front door, and a little scary thing in the back, and those things scared me a little. And I was talking to these girls, and they said that when you went to sleep, you would see ghosts and yellow things and I can't remember exactly; let me think. You would see ghost girls in yellow dresses singing a song. And sure enough, I did. And I wanted to get home because I forgot my bag of clothes and I forgot my lunch box at home. So the next morning they took me home again, and it was a Wednesday morning, and all of a sudden I had to be ready for school."
"A-004"	"#A-004 (1999 (14)) I bought a house for $15,000 for Dad for his birthday. This house had like a pool and a deck and little waterfall things and decks leading into a main house that was just like ours. And we were in the bedroom with some people, I guess they were the former owners. We were talking and eating. They were showing me this thing, the size of five decks of cards that was supposed to be a CD player, and it was like covered with cloth. And we were supposed to be able to play CD's on it and we would hear it without having to connect it to anything. So we were getting ready to play it, and I guess that this unit here was also supposed to be a CD player, and it was a little _smaller, and then we talked about, we were getting ready to make, we were getting ready to have Dad's birthday party in there. But he really liked the house; I was surprised. I didn't think he was going to like the house."
"A-005"	"#A-005 (1999 (14)) There was a rumor that somebody had killed a teacher up on the third floor of the Media Center, and some boys, who were the suspects, were riding the elevator and kind of playing on it for like two hours. And all of a sudden the elevator started making these funny sounds that it had never made before, and I thought, ""Oh boy, the elevator's getting mad."" (laugh) And then I went down to the courtyard in front of the Media Center, and I smelled this toxic chemical, and a boy said that it would make us realize our knowledge of acoustics. And I woke up."
"A-006"	"#A-006 (1999 (14)) Mom and I were cleaning upstairs in our rooms, and that we had an agreement that the first half hour she would put her boom box on and be the DJ, and the second half hour I would put my boom box on and be the DJ. But during her half hour I closed my door, and I wanted so bad to investigate this doll. It was supposed to be this like really super Gidget Gadget paper game. And she was just like a Christmas angel, only she didn't have wings and she didn't move, and stood on a base. And she was a singing doll and she had a volume knob on her base. And somehow I turned it up and I couldn't turn it down, and I was trying to work her gidgets and gadgets, and I couldn't really, I was just, my hands were like stiff as stone. And then all of a sudden I was juxtaposed out into like a rural farm area and I saw these three chickens living in small cages, living in absolute filth. And we bought them just so that we could set them free, and then I woke up."
"A-007"	"#A-007 (1999-05-24 (14)) Mom gave me a __sheet of ten cities _ that we were supposed to fly to. And she had an art thing set up in Albertson's, and it was on a plank floor that I could hardly stand on. And Mom and I and Aunt Kristin were supposed to go to these cities, and so we did. We went to the airport, and we were still walking on that same floor that I could hardly stand on, and we were walking like pigeons on top of this security thing instead of __turning?_____, and we stepped in and walked through the things that the bags go and before we knew it, we were on this people mover car thing that was going 60-70 miles an hour. And then I found myself on the steps leading out to the parking circle at school. Then I woke up."
"A-008"	"#A-008 (1999-06-01 (14)) Melinda and a few other people and I wanted, we were in this bank, and she had to cash a check, and we were bored waiting for this lady to finish doing her thing. And we convinced them to give us an elevator key so that we could get on it. We got on it and we said, ""I wonder what's up on the tenth floor?"" So we went up to the tenth floor, and this elevator had a blue interior, and we got out -- or we didn't get out -- it was this very dark, closed-in room with light-up stained glass murals on the walls. One was like a map of the world with red continents, another was like something really abstract. So we decided, ""Nah, let's not stay up here. Let's go down to the below-ground level and see what's down there."" And I thought, ""Oh gosh."" I hung onto the railing in the elevator as we descended, almost like a bullet, we hit bottom, and the door opened, and I was expecting it to be as dark as anything, but it was a banquet, luncheon hall and there were people having their lunch in there. And Susan stepped out of the elevator and was going to go spy on them. But then I was up last night, and I had a dream that her and I were with some other people, and oh, she came by to say sorry that she hadn't called me any more, and she wanted to go through a box of jump with me. There were like a box of broken eggs and empty cans and there was a ball and things like that. there was this two-channel mixer that apparently I had gotten for Christmas, and I just ditched when the current one came along but it was in the bedroom, and it could play ___?____ and the bedroom one could only play __?__ which was not true in real life. And so I'm constantly switching back and forth between the two, and then we started going through this stuff. And I thought I saw the CD at the bottom of the box; I thought it was the one that I had been wanting, but it wasn't. It was just some blah CD. And then she and her family and I were at the beach and we were diving in this cave, and they were saying, ""Oh, look at this, oh, look at that."" And it was pitch dark, and so I was feeling around and there were these like huge tarantula things swimming in the water and big sharks with scaly fins. And I was running out of air in my breath, so I had to get out. And I had to take my clothes off for some reason, and then run past everybody and ___run_ in the bathroom so that I could put the clothes on. And Mr. Powell (?) and everybody saw me as I was running past, and they were just shocked. And when I got in the bathroom, I woke up."
"A-009"	"#A-009 (1999/2000 (14)) Mom and I were supposed to go to Jackson and on the last minute our flight was cancelled. And we were running around trying to get our bags, and then we were at the house. And Dad was telling us that he was going to register with the government that he was deceased [laugh] . And then this rescue truck came by and Dad told them to turn on their siren, and they did; they turned on their siren, it was so loud. And then we were riding in it and we got down to the pier area where those cabanas are, and Philip was chasing me around trying to get my elevator key because my elevator key was able to start, he was able to stick it in one of the poles, electrical panels at the top of one of the poles and he would start, turn on a siren with it. So he was trying to get my elevator key. By the way, at school I usually use the elevator so I have a key and I keep it on my wrist. But in my dream he was chasing me around for it, and he didn't know that it was on my wrist. He thought it was in my pocket. And he finally got it, and just before he was able to do anything with it, I woke up. Last night I had a sort of bizarre dream. I had a dream that I was sitting in the car with the engine off. You know how you turn the engine off, but you leave the ignition on so you can still run the secondary circuits? Well, I dreamt that I was sitting in the car with the engine off but the radio on, and it was on 94.9, and we were at a gas station and Mom was filling up the tank. And all of a sudden Dad comes in and sits in the passenger seat and we call on Zach for some reason. I don't know why we called Zach, but we did. And Mom starts the ignition, I mean she starts the engine, and Dad starts -- I don't know -- he starts really falling around, and then Mom starts driving like a crazy woman and saying, ""Zach, Zach, would you please stop!"" Well, she's the one driving like a crazy woman, and we were just about ready to crash and I woke up."
"A-010"	"#A-010 (1999/2000 (14)) I was at school at nighttime, and I was sitting up on the steps that lead up to the third floor. And I was with two other girls, and they were talking about a Christina Aguilera concert that they were going to and I was with them talking about it. And then all of a sudden the alarm system goes off. And we were running, trying to get out of there, we were just trying to get out of there, and then once we were out in the courtyard, it shuts off. And the announcements come on, the intercom system comes on and says that it was just a test, it was just a drill, don't evacuate the building. And then for some reason it goes off again and a few seconds later it shuts off. And then we were just sitting out in the courtyard for a while, and I walked through the place where the cafeteria is. And I felt really heavy over there. I felt like there was way, like four or five times more gravity over there than there is, and I learned that they put submarines down over there and that's why I felt so heavy. And I dreamt that Dad was going to go down in one. And before long, I woke up, thank goodness."
