"n"	"date"	"dream"
"Alicia(P)-01"	"(1995-12-06)"	"#Alicia(P)-01 (1995-12-06) I'm heading towards the ocean in a fancy sports car, a Porsche. I pay the parking attendant $700 cash to let me park anytime for a few days. (The $700 was given to me by my fianc.) Actually, I want to throw the car off the cliff because it's a ticking bomb. When it goes over (to everyone's amazement) it becomes embedded in the soft side of the hill and doesn't explode. It's actually landed in a car park for tourists. Switch to: This is some part of a Mob hit for some Mafia gang (90's not 50's). Head back to the beach with my friend who was looking for a cool book (titled Grapes?). I try to decipher the title but I can't keep the book because it's tied to the Mafia. Switch to: Mob people want to give me a puppy. I go into a room, there's a bunch of Siberian Husky pups, but the one who's given to me has colors that are mottled. I ask what sex it is (it's a boy), I say, ""Oh, I wanted a girl."" I look nearby and its mother looks like it's been put through a meat grinder -- literally. I notice some of the pups (there is a table full) have extra ear flaps on top of their heads! The mother looks like it was attacked by wolves. It's badly hurt, a bloody mess. Switch to: Catching an elevator going to work. Looks like the BofA building. Notice someone caught using the phone in elevator -- must jump on cause I've pushed the button. This person resembles Maribeth O'Rourke, actually turns out to be some other news anchor going up to the ""garden on the roof."" We decide to make a special lunch there for the anchor and three other friends. I include myself and start dishing out salad makings. It turns out anchor is going to have surgery (she's crouching in the corner of the elevator, crying). I feel sorry for her and try to tell her not to have the surgery atop this place. Surgery turns out to be removing lump from her breast. I offer better doctors, she says she has no choice. Nurse comes out with tray full of papers and says this is the place she must have the surgery for some reason. Back to serving lunch. My friend and I dish out salad while Beatles' song plays in background (Eight Days a Week). I sing ""Oooh, I need your love babe ..."" to the end where I forget the last lines. My friend says she wants to get some of the egg in the salad -- it's special -- ""It's a red egg from India."" I don't see it at first then I notice I have a whole one in the salad (bright dark red) hard boiled. Yolk is deep rich red; looks appetizing, but I can't eat it."
"Alicia(P)-02"	"(1995-12-06)"	"#Alicia(P)-02 (1995-12-06) I am at work in the Master Control room. I am running the shows, when my co-worker Tom breezes in from around the corner, takes me in his arms and gives me a deep soulful kiss! I am surprised but not entirely resistant. He begins to stroke and massage my breasts while kissing me. I absolutely swoon! I'm a little concerned about the programs on air but I don't want to pull away from the embrace. My breasts are so sore and the massaging and stroking are so exquisite I practically climax!"
"Alicia(P)-03"	"(1995-12-07)"	"#Alicia(P)-03 (1995-12-07) Begins in a busy TV station newsroom (hustle bustle more like a TV show about a newsroom). News producer Dan is getting ready to put on show. Everyone walking around. I'm in the middle trying to do my part but I no longer work there. Somehow music to one of my favorite musicals (West Side Story) comes on. Some people begin to sing (Something's Coming). They don't know all the words but I do. I grab a mike and sing the whole song (to everyone's amazement) catching the attention of a powerful female executive producer. She mentions something about how great TV has led to my knowing such a wonderful thing. I say, ""It's not television, it's the writing!"" Everybody stops and looks at me as if I've committed a great faux pas. The woman exec asks me to come with her. Switch to: On our way to the Opera House, she wants to know about me. I tell her more about my sister who is a bigwig at the Opera House ""in a man's world."" Some of show happens -- I excuse myself and go the bathroom and note I need to fix my hair (still in curlers under scarf). Go back to lobby where it's breaktime. The woman exec is gone but her other cronies (all young 20-something year olds) eye me suspiciously and try to get more info out of me. They are very surprised to know I have a 12-year old son. I begin to leave. On the way out (seems like I'm on some European Street in Greece or Rome) and a sandal floats by in the gutter (some man, an Italian valet of sorts, hands me a note. I am to return this sandal to a hotel. I instinctively know the woman exec is waiting for me in a room there. She will seduce me. Switch to: Myself in a coach with my sister, and another (my mother?). She is laughing about this whole story I'm relating. Back to my being on European Street, etc. My sister now laughing. I'm laughing too because I know I'm on my way to be seduced. I say, ""Hey, I can do this easy! I'll be the woman's driver/chauffeur, if it will get me back my job!"""
"Alicia(P)-04"	"(1995-12-08)"	"#Alicia(P)-04 (1995-12-08) Classroom situation (looks like my old elementary school), but it's more of a college class. Several adults including myself in wooden chairs waiting for teacher. My supervisor from work, Lynne, comes in. She's the teacher, and announces a test on the book Treasure Island. (We are all disgruntled.) I protest. Getting haughty. I say the book is boring. She flashes back ""It's not like you're paying that much attention."" Alluding to my current lackadaisical, somewhat tired approach to work lately. I feel embarrassed and angry. However, somewhere in this dream, I don't remember at what point, someone is surprised at my interest and knowledge in great literature. I say jokingly, ""Well not only do I watch PBS, but I also read extensively."""
"Alicia(P)-05"	"(1995-12-09)"	"#Alicia(P)-05 (1995-12-09) Back at the newsroom studios with man and woman who do the news, among others. They are in the midst of a broadcast reporting about the possibilities (and hazards) of an earthquake. They even cut to a reporter, who talks to some night club owner about what happened to him and his place during the last one. They cut to some video of his home/bar where a camera catches everything in motion. The quake is so violent, one can see the people inside, a grandmother, grandfather, and granddaughter being tossed about like ragdolls. I even see the horrible impacts. Their look reminds me of crash test dummies. During the commercial, there is the general repartee between us all when I notice we are all in some arctic place -- not our usual city. The studio/or the show is being done out of some ice capades auditorium and a segment coming up has to do with some singers (they are practicing). I notice one of them is my first husband! I mention this to the anchorwoman who asks when was I married. I said I was very young. She is surprised and mentions to the rest of the crew that my first husband is there. She is even more surprised when I say I've been married twice before and am about to get married again. We come back from commercial break and the anchorman says to camera audience, ""Well, like Polly says, you could be looking at a bird in a tree but someone else might think you are considering eating the berries on it which are poisoned."" He then throws it to the weatherman. The sports guy asides, ""I'm glad you didn't toss it to me, I don't know how I would have responded to that."" The weatherman just winks and makes a funny face. Switch to: my focusing on my ex (they are practicing a song when I notice the instructor is my old college audio teacher Ken). Anyway, the guys take a break and I walk up, dressed in a sort skirt suit and say hi. My ex is flabbergasted. We walk out of the auditorium and he says to me, ""Doesn't this bother you at all?"" And I smile and say, ""I'm just continually amazed."" Switch to back inside the auditorium, children are being let in for an indoor recess (too cold outside). I see my sister heads a table with many children saying something about how she's sorry she didn't get them in sooner to see the TV stars. Back outside my ex and his team are going to do some kayaking expedition."
"Alicia(P)-06"	"(1995-12-09)"	"#Alicia(P)-06 (1995-12-09) I'm a male, someone in a Gothic tale. I must assemble Bono of U2 or Sting. I'm in a medieval castle with other people. For some reason, these people decide to make a game out of beating and torturing me. I believe I'm killed, but I see that once they're done with me, they want to play the ""game"" with some poor blond serving girl. They also beat her to within an inch of her life. Next fragment: I am leaving the city with my friend Nan and hook up with Madonna and Rosie O'Donnell. We're headed to Chicago. I've never been so thrilled. I tell them I really want to move to Chicago. Once there (Madonna no longer with us), we go to EDD office. I'm carrying a dresser and have to guard it so it doesn't get stolen. I almost miss my appointment. Meanwhile, Nan and Rosie are trying out for a women's baseball team. It's exciting but they don't get in. Three other girls do. They are small and brown (ethnic) in Catholic school uniforms. We need to get ""home."" We're staying at someone's apartment. On the way home, I have to cling to the back of the car -- some old little vehicle -- and on the way am chased by a black dog. I think the dog wants to hurt me, but it just wants to play. We get to the house and I leave my dresser outside in the doorway. (Dog stays out too.) Inside, the girls are playing. The game consists of warding off attacks with a small glass table top. The attacks are with tomatoes or soft foods but when I get the glass, I chip it. We try to put it back where we found it so no one can tell."
"Alicia(P)-07"	"(1995-12-11)"	"#Alicia(P)-07 (1995-12-11) I'm on the freeway heading home from work. As usual, I'm in a hurry, but find myself stopped cold by a traffic jam. It is so severe I get out of the car and walk up to see the cause. Cars are stopped in both directions. They are also jam packed. I get to the head of the problem but do not see why precisely we are stopped. For some reason, we are to be there for days. I meet a man in another car and we instantly fall in love. Somehow, somewhere, we end up making love. We plan to build a life together. I don't remember how this one ends."
"Alicia(P)-08"	"(1995-12-11)"	"#Alicia(P)-08 (1995-12-11) I'm at the Riding Stables. I am watching the horses. Somehow, I am responsible for putting one of the horses away. There is a dog running around the training field. I try getting the horse to cooperate. It lies down for me to untack it, but once I remove the saddle it bolts up and away. I know I'm in trouble. I go to report the incident to the office, saying I don't know where the horse has gone. The co-owner, Marta, is not too terribly mad, but I feel awful, stupid. I go to look for the horse and pass behind the stalls where a school group is playing baseball. I'm on my way down the road when I see a girl/woman riding the horse towards me. She is wearing a bright red dressage jacket and beige jodhpurs. I flag her down. She very nicely tells me the horse was wandering around her (very exclusive) riding school. I thank her profusely for finding it. She turns over the makeshift reins to me, which I try to fix with string. She tells me to attach my string to the blue end as it's stronger. Meanwhile, just before as I'm passing the baseball field, I forgot to relate that my 12-year old son had just been let out of school and I ask him if he saw the horse. He said no. I said I needed to look for it. That's when the woman rode up. After I retrieved the horse, I took it back to its stable where two guys were waiting with one horse already saddled. Marta asked me to saddle up the renegade horse as they were going for a trail ride. I was happy for them (but sad for me)."
"Alicia(P)-09"	"(1995-12-12)"	"#Alicia(P)-09 (1995-12-12) My husband and I have bought a new house (my husband in this dream is a total stranger). We are living in the downstairs quarters when I notice that a strange, older man keeps popping up. He seems to be the previous owner. I feel we are being persecuted and we go upstairs to confront the ex-owner. Upstairs is empty but fully furnished. We feel we have bought this house and can live upstairs. We start to discover the different bedrooms. At one point the older man comes in and starts to terrorize me. My husband has gone to get some form of defense. He comes back with a club or bludgeon. Meanwhile, this old guy is trying to strangle me and I yell at my husband to go get one of his many guns -- ""That's what they're for! I'm angry!"" While he goes off, I begin to get sexually aroused by the physical mess of the struggle. I tell the older guy I'm getting excited and he begins to ravish me. He has a long penis. Other people join in, men and women. I am getting the screw of my life. My husband comes back in and is angry. The others all disappear. I am still very turned on and want my husband to fuck me. He does so, angrily, when next I notice my 12-year old son come in (he's a deck level above us) and he excuses himself for interrupting but didn't know we were ""doing it."" I get up to go answer the door and find an attractive woman looking for the previous owner. We are immediately attracted to one another and push towards a room where we can have sex. After which she comes up and meets my husband and son. She says my husband is a hunk and quite handsome. She remarks that usually sex goes out the window once you're married. I feel this is so true. When she meets my son, she gives me a smile and ""slaps me a 5"" in the old way -- down low -- saying my son is equally good looking. I turn around and notice the old man is walking away -- down the stairs into the street -- with a young boy of about five. I realize they are both ghosts. I was being haunted. "
"Alicia(P)-10"	"(1995-12-13)"	"#Alicia(P)-10 (1995-12-13) Mostly forgettable dreams last night, but the first one stands out -- short, but to the point: I'm lying in a small pool of blood. The blood is coming from my swollen belly, from the belly button, to be exact."
