"n"	"dream"
"051-1"	"#051-1 ""My wife to be"" and I were in a store. Apparently the store was near the water because I kept on trying to convince her to drive the boat while I went skiing. She claimed it was too cold to ski. Besides she had to buy snap-together funnels at the store near the water. In the store she was wearing only a towel, and I was holding the towel on her for a while so that she could look for funnels. She passed up quite a few funnels until she got to the snap-together ones. Finaly I got to go waterskiing, but it wasn't my ""wife to be"" driving the boat. It was my sister. But before my sister took me waterskiing, back in the store with my wife, after she bought the funnels we moved onto a different area of the store. We came across a table. On that table were the workout gloves (2 pair) one mine, one my sister's, that she and I had lost in real life. In the dream they were new and didn't have all the holes and stuff in them as they did when we lost them. I told my ""wife to be"" about how comfortable the gloves were and where the holes were and how they fit and how I wish I still had those gloves. I remember hoping that my ""wife to be"" would get the hint and buy the gloves for me for Christmas."
"051-2"	"#051-2 Real life: My friends and I just bought an eight-track recorder so that the band I'm in could record some songs. Dream: I get home from school one day and these two kids, kids that I know I've seen at Suffolk but don't really know or talk to, are down in my basement. They are playing with the new eight-track recorder. I was worried that they were going to break it. I went upstairs for something and when I came downstairs one of these kids told me he had to use my bathroom. For some reason all the lights were out and my basement seemed distorted. When we finally found the bathroom after some difficulty, I went into the bathroom and, this is disgusting, but I vomited through my nose. Then the dream ended."
"051-3"	"#051-3 My friends and I went into a cave and dug up some sweet potatoes and regular potatoes, and we threw some of them at a cat but they landed on a washing machine that was across the street in a laundromat. Then we went to a woman's house.(The woman was in my science lab last year in real life. I had asked her out but she said no.) We went into her basement, my friends and I, and turned on the TV. Home Improvement was on, which is the only show I'll watch on occasion. But I wasn't paying attention to the show all the time. I was wondering how I was going to ask her out again. Then the dream ended."
"051-4"	"#051-4 I have to bring up a recurring dream because it has great significance to the dream I had this week: dream #5. It always starts the same way. I walk down the stairs in my house and out the front door. I walk into the street and I always turn left. I lift my arms up to be perpendicular to my body and wait. Soon a big wind comes by and lifts me up. At first I am nervous. I am afraid of falling. I have no control over what I'm doing and the wind takes me where it wants. If the wind dies down I begin to fall or a large breeze makes me move quickly through the air and I get nervous. But soon I get comfortable with flying and I can turn in any direction I want. The wind dies down less often. I go higher and higher, often I get scared and come down a bit, but when the fear leaves I go higher than I previously was. Eventually I get the hang of flying and am comfortable with it, but I still feel as though somehow I'm missing something. Once I get the hang of flying I often realize that I've got no place to fly to. The dream ends with me kind of floating around aimlessly. I've had dreams along the lines of this one many many times."
"052-1"	"#052-1 In this dream I found myself on a type of spaceship. The inside looked like the starship Enterprise. This is strange because I really don't like Star Trek. For some reason a door is sliding open and closed, and I am shooting a laser at the opposite wall trying to hit two blinking discs. The laser I'm using isn't working so I switch to something stronger. The first beam was a red beam and this one is now a yellow one. I finally hit one and go out into the hall, walk a little way and enter a room with a sliding door. There is a girl dressed as I am, in some kind of uniform. The girl is someone I know from high school. I can't really remember what made me shoot but I did. The laser hit her in the foot taking a big chunk out. I remember seeing the chunk missing in graphic detail. I remember feeling ashamed I shot her and sad also. That was the end of the dream.    "
"052-2"	"#052-2 The only thing I remember about this dream is a jar of Guklins mustard rotating by my face. In the dream I don't know who threw it, but it was passing by my face in slow motion. The mustard was going so slowly I could read the label and see the brown specks in it. I could also see how the mustard shifted inside the jar as it rotated."
"052-3"	"#052-3 This dream was during a nap, taken after Thanksgiving dinner. In my dream I awaken on the bed to find my sister's cat hitting me in the face with his paw. He is not using his claws but I'm so tired I can't move. The cat keeps disappearing under the bed and then attacking. Then he comes up and hits me but has his claws out and scratches my cheek. I awoke and did not know it was a dream until I looked at myself in the mirror and had no scratches."
"052-4"	"#052-4 In this dream I am lost in a jungle and am walking along when I see this huge object. The object looks like the side of a bloated tick or the side of a huge gray submarine. This object is towering over the trees. I remember feeling afraid of it but going closer anyway. When I am close to it the side splits vertically. A huge elephant comes running out at me. I get out of the way and proceed to watch all sorts of wild animals run through. I think I walked through the split after the animals went through and I'm in my old hgh school. I can see myself screaming at my ex-girlfriend for something, which I have never done. I remember seeing all my friends but they were just staring into space."
"053-1"	"#053-1 I have an acquaintance, Mark, who offered me a job which I declined. He turned out to be very respectable and has a clear perspective on many issues we are both interested in. I don't know him too well but consider him to be a reliable and trustworthy friend. Through the course of our discussions he has made mention of his homosexuality. I know very few gay men, and have not an iota of respect for the majority of them. Mark is different, in my perspective, though. I had this dream, last night, though. I was meeting Mark and we decided, mutually, to meet at his house. He opened the door wearing a very feminine fake-silk robe with a chiffon collar. This didn't scare me; it pissed me off. I controlled my anger and told him, forthright, that I didn't find his attire appropriate to the occasion, which was just a social meeting to talk about current happenings in our lives -- specifically, his lover just left him, and my lover, who is a heterosexual female to compliment my heterosexual maleness has recently left me. I told him, straightforth, that I was not going to have sex with him . . . ""So go change your clothes, or I'll be leaving and we can keep things between us on a professional level."" End of dream."
"053-2"	"#053-2 I dreamed that I was laying alone in bed, rousting from a nap, to find that I had a split in the skin underneath my left nipple. It was not bleeding but it was tender and painful. So, for some damned reason, I slowly pulled it off. It totally weirded me out and I woke up. Odd, eh?"
