"n"	"dream"
"0024"	"(2003-03-15 (12)) I went to Farrah's new house. Someone said something about a Neopets march, so we went in the car to find it, but we got lost. I met Billy Boyd. The end of the line was really far and was in the street. We got Pocket Neopets."
"0025"	"(2003-04-22 (12)) I was friends with Eric Christian Olsen and a boy and a girl. I was going out with Eric, but the girl didn't know. We were on this small island with about 20 houses. We were standing in a driveway. The girl left and Eric said to the boy ""She doesn't know me and Izzy are going out"". Ezra was flying a plane and dropping bombs that were exploding about 2-3m away. He was trying to bomb us."
"0026"	"(2003-04-26 (12)) There was a prom. We were at West Whitehall and I was going out with Eric Christian Olsen. Sometimes everyone was called to my block and we had to stand in two lines with our prom partner and me and Eric had to say something. No-one knew we were going out and we stayed away from each other during school. I sat with Farrah and some of her friends near her block. There was a spooky thing happening in the block. We couldn't go in or we would die. I looked because I heard someone crying. I ran away and this thing came out. Charlene and I ran near our block. Charlene, Eric and I were in some water."
"0027"	"(2003-04-26 (12)) We were at a haunted house. I got separated from Eric Christian Olsen and I was really upset. This thing kept killing people and they melted into a white blob thing."
"0028"	"(2003-04-26 (12)) Dinosaurs were alive and were killing everyone. We were at Mom's house and this guy who made the dinosaurs told me and Eric Christian Olsen to call for pizza. We rang people to get rid of the dinosaurs. Then we were somewhere else, outside, throwing flares at the dinosaurs, and we ran out of them so we threw nuggets at a plateosaurus -- which was actually a good dinosaur and helped us get rid of the rest of the dinosaurs."
"0029"	"(2003-05-23 (12)) I was in the future and the world was really weird. I got out of some thing in the ground. I became friends with this popular girl. She liked boys with big lips. We were at a shop. She said ""when our lips met"" and I thought she was talking about Aron, but she was talking about Gavin. He said something and I was really angry."
"0030"	"(2003-07-16 (12)) I was at home out the back, around the side of the house. Eli (Children of the Corn 3) had to go somewhere and he went down a toilet. I was really upset. A little while later, I was in the big shed and I was doing a spell to get him back. He came back and looked pretty annoyed. But it wasn't because of me because we started making out near the wall across from the shed."
"0031"	"(2003-07-16 (12)) Dad had all the Children of the Corn movies on DVD and a Vault of Horror movie. Farrah, Ramona and I went to some old lady's house, I can't remember what we did, but we then pretended to be asleep. They believed that I was asleep but Ramona and Farrah said that we weren't asleep."
"0032"	"(2003-07-16 (12)) I was in some caravan and everyone was in groups which were parts of the body. Charlene and Farrah were staying there too. I didn't have any clothes on but they were wrapped around me. This lady came up to me and two boys and said that we should join the vagina group. You have to touch the part they say to join. We got in trouble for saying no. These little beds were in one corner and there were lots of blankets. Under my breath, I said ""Stupid cow"". As I was getting dressed (I covered myself) I heard someone say ""Look what that kid's wearing!"" and I looked up and saw Eli (Children of the Corn 3)."
"0033"	"(2003-07-17 (12)) We were at a hotel thing for school races. I was sharing a room with Tatu (the band) and Katherine Heigl. School races were on bikes or foot. It was really hot. Outside there were these rock things and a little tower. I won each time (3). Tatu, Katherine Heigl and I snuck into some guy's bedroom (I think it was Brendan Fehr's) to find something for Katherine. I got bored and left. Tatu hid under the bed. I left and saw Brendan coming so I knocked on the door. Katherine got caught. Tatu got out after he left. Tatu and I got an ice-cream and we were riding our bikes. The next races were at some lady's house. They were water ones. We had water masks on. I won again. She had a blowup pool and on the second race I got stuck with someone and so we could move I said something about pools and slid into the pool and everyone clapped."
"0034"	"(2003-07-17 (12)) I was near the beach with Dad. A guy came up and asked me to be in the next Charlie's Angels movie and then the three actresses came out of a caravan, so I said ok. I was in the car with the three angels, but then Lucy Liu left. I went to the shop with Drew Barrymore and I was looking for a pocket knife, but I couldn't find one. As the shop was about to close, some old man found them."
"0035"	"(2003-07-18 (12)) I was friends with some popular girls and Farrah. We were somewhere weird, which had tunnels and you had to go into rooms and find clues. Everyone hides at some point and then this ""monster"" thing comes in and picks a hiding place. Whoever was hiding there leaves. They left me behind at the last room, but I was the one with the clue so I won."
"0036"	"(2003-07-18 (12)) I was at a party-like premiere type thing. I went up to Daniel Cerny, who was sitting at a table, and put my hand out and we walked off hand in hand."
