"n"	"dream"
"2617"	"(2009-01-25 (18)) I was watching Prison Break. I don't remember anything that was happening, but I remember Bellick and T-Bag."
"2618"	"(2009-01-25 (18)) Mom, Ezra and I were at a shop but it looked like an airport. There was a shop called ""I hate buns"" except it was sometimes ""I love hate"". At first the shop was outside, but then we were inside. Ezra was looking for a shop and we ended up in this sound studio like the one near the Science Museum with this old-ish woman teaching. She had a program open on her computer and showed us a music file and asked us to work out how to get all the music into ""one stream"" -- which we did by pouring water onto sand and making these thick rods made of sand and water. Ezra had spelled out ""hobgoblin"" and I wrote ""Hello"" and then ""Izzy"" in the sand. The lady had a glass and broke it and I called it a glass and she started rambling angrily that it was actually called something else and that it was mainly for 'bigger' people to commit suicide with and then she calmed down and said she was meeting some pedophile guy next and she was going to be late but couldn't contact him. One of us suggested we could go and show him this game to stall him. Then I was in a car with a guy friend. It was night and we drove past this shop, which he had broken into earlier. The door was open and someone was inside. He pulled up outside and was going to go in to stop it and I told him not to, and he hesitated but eventually drove off. Then we picked up a drunk friend and he said he lived in ""New Jersey"" and my friend said ""that's a nice place to live"" and I said ""unless you're in this country""."
"2619"	"(2009-01-26 (18)) I was watching Prison Break. T-Bag had a lot of different disguises and voices to use for different identities. He went to a hospital and there were some kids. He was pretending to be an Indian doctor and he called them to help them and was speaking in an Indian accent. The kid recognized the voice though. Eugene had had a dream (while he was in prison) about an assassination attempt on the president and it mentioned the dream on the news. There was a bloody dude called Billy in the dream. Later, Mahone dreamt of it too. He was on a rooftop or something. He was with Sucre, but then it wasn't Sucre and he turned around and Mahone shot him four times in the back. Later the president, who looked like/was Mahone, shot a friend four times in the back and then laid him down and shot him in the head. Three kids nearby saw and one ended up dying. Mahone and Eugene had a gun fight. Mahone pushed the other two kids in the way and Eugene shot them accidentally and they died. The president was involved with this girl, but he didn't trust her anymore."
"2620"	"(2009-01-26 (18)) I was at school, but it was a different school. The same people were there though. There was an 'assembly' and everyone was grouped together in different classrooms. I was sitting next to Fang in class. During the assembly, Calvin ignored me and sat with someone else. Rebekah was sitting somewhere else and was laughing with her friends. Ezra came in and sat next to me (we were at a desk). He knew my password for DreamBank and I was on it later trying to find out how to change the password. It looked different and had a forum. I couldn't find anything about changing your password. I was then in a lady's home and I had to leave (I was with others and we were on a mission thing). I had to drag this heavy carpet out. Then it was a TV show and this girl was wearing some latest fashion and these people took photos of it so it couldn't be released."
"2621"	"(2009-01-26 (18)) This family had moved into a new house. There was a cat and a dog and they were weird looking and were staring at it. The kids ran into the house. Then the father was actually dead, but they could see him. There was a building nearby that had a public toilet sort of feel and there were vending machines in it. Some guy wanted to get some Picnics for his friend. The father was getting the Picnics and he got in trouble with the police. Someone asked the guy what his pets were called. It was Bellick (Prison Break)."
"2622"	"(2009-01-26 (18)) A bunch of people and I were running away from some people. T-Bag (Prison Break) was there. T-Bag was going to kill this guy, but I took the shank from him and stabbed the guy so he didn't get in trouble. A lot of stuff happened but I can't remember much. Then we were in a game. There were lots of people around and we were running around through this large crowd."
"2623"	"(2009-01-26 (18)) I was at a cinema. The guy serving at the counter was in the clip for 'Jizz in My Pants', the clip was actually different. Someone said ""cash or credit"" to him and everyone was asking if he was the guy from it. Then I was in school and it was a few weeks/months into it. I was doing ok, but I wanted to do MUPC and so wasn't trying. The people there were pretty mean. We were all gathered and sitting on the floor. The teacher looked like Mahone (Prison Break) and he put some music on and everyone was singing except for me, as I didn't know the words and wouldn't have sung anyway. Then they all got up to do this dance. Only two guys and I didn't join in. There was a group of girls that were mean to me all the time and I couldn't find my bag and thought they had taken it, but then I found it in the shelf behind me."
"2624"	"(2009-01-27 (18)) I was at school but it was different. It was the last night of school and we were supposed to wear a 'disguise'. People were all dressed up but I was just in my leaver's jacket. We were in a room, which had round tables scattered around and had balloons etc and was party-like. This teacher called us all to the ""birthday board"" and they were putting people's birthdays on there. Eugene was there and wrote in Bradley's birthday as April 16th or something. Then I think I might have been somewhere else, but Jensen Ackles and Jared Padalecki were sort of friends with me, but they were trying to put salt on my food, along with some other people. I kept hovering over the plate and squealing and running away but they would follow. Then I was in a hall somewhere and I think it was a movie scene or something. A black girl and a guy made a mistake and it was really funny. There was a dog at the back and Mom joked that it was mine. I then had a little camera and I was taking photos. Cuddles was on my bed, sitting in a bunched up bit of blanket. Ezra was playing with a dog."
"2625"	"(2009-01-27 (18)) T-Bag (Prison Break) was having sex with some lady. She was on top, and it showed his face. I was thinking that he was hot and that I missed season 1 T-Bag."
"2626"	"(2009-01-27 (18)) I was at Mom's house, but it was different and in a different place. Across the road from it, was mainly bare but there was a stingy house down this hill (across the road, was a huge square of land, which dipped down and the house was in the middle, but there were trees and such around). Mom and Darren were modifying the house and decided to ask them a question. We all went over and as we got to the door, people started yelling and glass was smashing. Mom got a bit nervous. We went in and they gave us all a drink, but I didn't drink mine and Mom and Darren had some of theirs. The house was very 'hillbilly' like and there were lots of rooms, with quite a few people in it. Eventually Darren passed out (from the drink) and Mom was a bit groggy. I tried to get her out of the house, but the people were going to kill us and I left her and ran off. They just came after me. I found a shard of glass, although I think it was a knife at first, and I began slicing the necks of the people in the house. Only about two of them actually came after me, everyone else just sat about in their room. One of the rooms had three guys in it and they were playing a card game. The room across from it had a few people in it too. I killed two of the guys in the room, but the third guy I couldn't get to. I tried to slice his throat but I couldn't get through it so I grabbed his arm and tried to slice his wrist vertically, but it didn't work again, so I ran off. Then I had a cardboard pole and I ran out the back. This guy had some sharp weapon and I was fighting him off with the pole. I called the cops while doing this and I said ""I'm at the house across from 4 Edinboro. They're trying to kill us! They drugged my Mom and her boyfriend and I only have a cardboard pole"". I ended up finding something stronger right after I said that, but then someone said that we had actually imagined all this and I got frustrated. We were then back out the front of Mom's house and we still wanted to go over, but were now hesitant. We started over and then saw an Asian guy similar to one in the 'vision', so we decided not to. Outside my window, which was one the second floor, was a lattice ladder thing and it was pink. It was hanging off the wall and they put it back in place. I was saying that people could now come to my window etc and they said they would reinforce it all and I said ""I want bulletproof windows"" and then joked that someone would come in the house and the only way for me to get out would be through the window and I wouldn't be able to go through it. I put my foot on the bottom of the ladder to see how strong it was and it started to fall. This guy was at my window, which was open, and told me to grab his hand and I said ""you won't be able to lift me"" but he kept insisting and I grabbed his hand and he easily pulled me up and through the window with one hand. I realized he was Edward (Twilight book) and said ""You really are a vampire""."
