"n"	"date"	"dream"
"001"	"(04/23/1983)"	"[my last year of high school] I was walking outside in a neighborhood, nothing I recognized.  It started to get grey outside, it was going to rain.  The clouds were huge, puffy, and they were moving fast.  A grey cloud descended toward me.  It went over my head, and when it got about 3 feet from the ground, behind me, a lighting bolt struck out of it, down to the ground with a loud crash.  It occurred to me that I was in a dangerous spot, that I could be struck, too, so I began to run back to my house.  Then another cloud descended.  These were agile clouds and moved quickly.  It also went over my head behind me, but this one skidded to the ground, and the minute it touched the cement of the street, the earth crumbled.  A tremor earthquake split near me and I ran, or climbed, it seemed, for the earth seemed to be rolling, falling, and I had to keep on top. It was suddenly just a huge ball.  I scrambled toward my home because in front of me was a large crack splitting open the earth.  I thought: I'm going to be separated from everyone.  The earth kept falling apart until all I lay on was a red, orange substance or ball.  I could see ahead across the black space (I was in the universe, or space, without an atmosphere.)  I saw a fragile white globe with a hole in one side, the hole was about 50 feet across.  This sphere was large, as large as our moon, and I could see it from a distance so that I could see all of it, how large it was.  It was hollow inside where the hole was.  The hole was not ragged, it had a beveled or smoothed edge.  Somehow I knew that white ball was my destination, that I should go to it, climb in the hole.  But I was debating it.  I don't know if there were other people with me, or who I was discussing it with, but I was telling them, yes, we/I should go there.  I did.  It was easy enough to get there. I think I just crossed over or stepped on to it.  But there is something more about the red 'lava' ball I had just left, that I am forgetting now, something I peered into, got swallowed.  So I crossed to the white globe.  I clung to the edge of the hole and looked inside.  A bright light filled the entire globe, but it was coming directly from the other end of the globe, opposite the hole.  This huge bright light did not have implications of life after life.  It seemed rather more like a sun, a life, a place to go to live.  It was just a light inside a globe.  I knew I must go there, but I hesitated.  It was very windy.  I can feel my hands clinging to the edge of that fragile globe, as I climbed over and dropped.  I let myself go and dropped fast all the way through the middle of the white toward that light.  This part I don't remember as well.  All I remember is a grey, milky substance that I could see in slow motion, bursting, forming into drops or streams.  It was as if I had come out through the other side of the globe and was either shooting out in front of, behind, or within this milky liquid.  I was heading directly toward something.   I was being pulled, gravity.  I thought - where is the gravity coming from?  My memory now skips something, and I found myself in a large house with red-brown furnishing.  I knew something then, like, 'this is my entrance into it, my way in, through this, my house.'  The house was for me and I knew it.  I had started exploring it, walking in and out of rooms, up and down levels, steps through doorways, looking around my new house.  It was furnished, and not exactly to my taste, but it was nice.  I suddenly thought - here, I can have anything that pleases me - so I set out to get a dog.  I was not in my house now, but I came to a door (in a line of doors, in a wall outside), opened it, looked through, and on the ground, lined up were 20 or 30 black labs sleeping on their sides, in a line going across the doorway.  A man came to help me choose.  I told him I wanted a weimaraner and lab mix.  We looked through them, turning them over and looking at the labels, until we found one marked 'lab/weim.'  They were no longer alive, but statues of dogs.  I can't remember ever taking one home, or going back to the house, for that matter.  I walked around my new area, but it wasn't a neighborhood, there were no homes that I saw, just areas divided by steps, fences, passages, outdoors.  There were some large open spaces.  I then found out that in this place you could have anything you wanted, that you didn't even have to ask, but just 'think' that you want it, and it was there.  There was so much creativity and freedom to be curious and invent/materialze things.  You could move things with your mind.  It seemed that I could do this more or better than everyone. That I had the largest house.  Everyone was most partial to me and I discovered that I was the leader, or head ruler, here.  I just 'knew' it all of a sudden, because of something I had done, maybe entering through a more physical way than the others.  The next events were all showing how I could use my mind to do things, that anything I wished for appeared.  I spent several years there full of events I can't recall now, but one day, (this is somewhat hazy) across a large breezy field, was a small house.  I saw myself first from the other side of the field, then close up, and then my mother and father were there, talking solemnly to me, explaining something.  I remember thinking to them - but I don't want to die! I like it here - but what I was thinking to myself was - I don't want to leave here and go live with you.  But they calmly explained something.  I think I submitted to it then. "
"002"	"(02/10/1984)"	"[my first year of college] Mother, my middle sister, and I were outside on a prairie.  There were 4 clouds (white, elliptical-shaped, and fluffy) moving slowly.  One descended and as it almost reached the ground, it separated and became frantic ostriches who flew quickly away.  The next cloud did the same.  Then I looked up and said, oh, this one above me must do the same.  As it descended over my head I reached up and touched, palm flat, the underside of the mass.  At once it frantically separated into ostriches.  I looked at my hand and saw that it was dirty and dusty, the entire palm.  (From the ostriches flying so long, they had picked up a lot of dirt.)  But this group of ostriches seemed confused, a few toppled.  I saw one ostrich in the distance fall from a great height, but as it hit, it merely settled softly like a feather puff.  Then a switch - it was a camp I think.  It wasn't clear who or what was going on, but somehow this ostrich was still there and it was very dangerous.  A man and a girl were there.  The girl became my oldest sister, and the guy became Ken [her college boyfriend.] My oldest sister peeked out from behind a structure, and it looked (to the ostriches) like an ostrich was peeking out, so the white ostrich raced after her and killed her.  Then Ken was on his own.  I remember thinking: 'He would have to make it on his own.'  He became another person, perhaps me, and began to climb a steep hill, but couldn't make it up.  The ostrich became a person who was still after the Ken-guy.  The Ken-guy tried to pull himself up onto something which had a refrigerator door and handle, and the door kept opening.  Then it had 4 handles around it, like a cube.  He tried something else, I think he was hiding in a cubicle in a wall of earth - but someone else came on the scene, and then the killer (ostrich) guy realized he would have to stop.  He began talking to the Ken-guy about the situation, in a very open way."
"003"	"(06/??/1986)"	"I dreamed I was impregnated by a bat.  I was walking down a road with three other girls, and I suddenly knew a bat had impregnated me, and that he had chosen me over the other girls because I was a vegetarian."
"004"	"(06/30/1989)"	"I dreamed I could move things with my mind, that I could bring things to me with the right combination of relaxation and concentration.  I also dreamed my wallet was stolen, but the only things taken were my collection of calling cards, not the money."
"005"	"(11/??/1989)"	"I was with an alien.  We were on the alien's planet, a dry rocky landscape.  In this dream I was male, and the alien was female.  I was getting to know her, but we did not speak the same language, we communicated telepathically and with hand motions.  The alien was very small, under two feet.  It was pink, very sensual, it moved gracefully.  I kept thinking of the word nubile.  Its features were not very distinct, just a general impression of femininity, alien-ness, sensuality.  I dreamed I made love with this alien."
"006"	"n/a"	"(06/11/1990 (#1)) My sister (the middle one) was in a weird mood - childish.  She was being mean to me, so while she was on the phone, I went to bed.  She came in (this takes place in our childhood home) and started teasing me with a brown puppet.  ""Now be careful,"" she said, ""this is made of chocolate.""  I reached over the covers and hit that puppet as hard as I could.  ""Uh!  Be careful,"" she said.  I would not respond the way she wanted and she turned to leave. But then she turned and came back for more.  She did not see Mom come in the room then.  My sister was jabbing me and poking me with a fork.  I was cowering by then, because she was really hurting me.  I tried to scream, glad that Mom was finally there.  I got this little squeak out and it woke me up.  "
"007"	"n/a"	"(06/11/1990 (#2)) Early in dream, I was looking for studio rental space for Tom M.  Saw about four places.  Then I was out with friends.  Unclear.  I met a man who I felt like I may have met before.  He was deformed, but not like the Other one, seen in channeling.  This man's eyes were strange.  I think he was bald.  He was a bit pitiful.  The Other one in channeling was confident, strong within himself.  This man was needy.  I invited him over.  We went to my childhood home, to my oldest sister's room (my room during high school).  We talked, but did not have sex.  I think I stopped him from touching me a few times.  I knew he liked me.  Finally I just wanted him to leave.  His eyes would change from one long eye - a slit, to two eyes, to other deformed eyes.  It was very early morning.  I told him he would have to sneak out before my parents saw him.  He almost cried and said no, he wanted to meet my parents!  I was horrified, but managed to tell him that my father was very mean about me with men and he couldn't find out that he was in there.  He was upset.  I went out of the room and discovered Dad awake and ready for work and Mom up too.  I really did not want them to know I had brought someone home, especially someone that pitiful.  I thought of having my middle sister help me get Mom distracted, wait til after Dad left, and slipping the guy out.  His name was Hardy??  Well Mom asked me about the man in my room!  So she knew.  Then Dad was creeping around the bedroom door and I had to tell him I really didn't want him to go in.  So he knew too.  Then I opened the bedroom door.  Hardy was gone, but he had left a note, engraved on three pieces of thick leather, telling me how much he loved me.  My family saw the leather notes, they had pictures and complicated flowers drawn in.  They were beautiful."
"008"	"n/a"	"(06/11/1990 (#3)) Ed (another student) and I are looking at maps of California.  He is laying on top of my back.  It feels good.  We're looking for Gilroy, and I see detail and towns I never noticed before.  We kiss a few times."
"009"	"n/a"	"(06/11/1990 (#4)) I am in bed and the phone rings.  When I answer it I say something unintelligible, like ""Channel 13, oops, I mean uh, Tara"", because I'd just woken up.  The person on the other line is a child or two children, sounds long distance.  I can't understand her, she sounds young.  While listening I go to the apartment door, it won't seem to close, the deadbolt is too far from the frame.  This worries me."
"010"	"n/a"	"(10/09/1990 (#1)) [I was dictating, speaking out loud the following while waking up] : ""The young men and women have each walked up to their grandfathers and grandmothers.  This is the word for overcome.  The litany..."" [Dreamed as I was falling asleep, visions really, not like dreams] :  1) The incident with the guy in university library when I was in high school, coming away from that and crying as if it were rape.  2) Delivering a baby, midwife telling me it should be no problem, it will go smooth, let it out, and then seeing vision of an ear of corn and pulling husks down exposing ear.  Like - giving birth to corn."
