"n"	"date"	"dream"
"001"	"(05/29/07)"	"I was part of a team searching for terrorists who were plotting to destroy a Portuguese replica of a great city. The plot I helped foil previously involved the Brandenburg gate type columns being blown up and falling onto a nationalist shrine. This next clue was much harder. Something to do with the beach. There were hostages who knew, but couldn't or wouldn't talk. They were being systematically killed. We guessed the wrong one who would be killed, but I saw the gunman walk up, take aim and shoot a dart into the neck of one of them. He was a tall, bald Asian man in a suit. Young, with purple accents. I was wearing my pumas, so I didn't make much noise. I saw he was heading to a run-down house in the Arab sector. I ran up to him, watching my shadow as I sprinted. Then I put him in a headlock and attempted to drag him into traffic. He was strong, and when cars were about to hit him, he bended and leapt away. The people inside the house, a family of freedom fighters, ran out. They didn't want to blow their cover. The dad ran out to help the comrade and was killed. Splattered. I was dragged inside. They were old and young, men and women. A regular extended family -- people who did not look at all like terrorists. The police came and they convinced the overly soft officers that it was just a domestic disturbance and the officers left their house. They would do anything to get the attention away from them. Instead of exacting revenge, they scooped me in on their plan. I assume the result ended up in my above condition. I remember bits from the shootout, including one of their badly injured having a gun near their heart to be blasted because they were not well liked."
"002"	"(05/29/07)"	"I dreamed that I had just woken up in a hospital room. I remember snippets of the surgery. I had been badly hurt. A bullet, perhaps. It was in the same place where my appendix scar is. It didn't hurt yet, but I knew and wanted and was looking forward to painkillers. At my bedside was my mother. And in my bed was a girl who was beautiful, who said she loved me and that her name was Kimmi. A tooth of mine was loose also. I looked around. All kinds of stuff was strewn about the room. Spoils of some kind. The thing is, I didn't remember a single thing. I knew who my mother was, and later, who my friends and brother were when they came in, but the past -- I don't know how long -- was gone. I told Kimmi that I didn't know who she was and if I loved her. We snuggled close. I put my hand on her pajama-clad leg. I felt bad that I couldn't remember her. My mother accepted her, so I assumed they had met previously. Marvin, Kareem (friends from college), someone I didn't know and my brother Gerald came in. They were congratulatory. They were also giddy and laughed the laugh of someone who knows something that you should know but don't. Apparently, I did something completely badass and somehow got away with it. Kimmi was having a hard time coming to terms with my memory loss. My friends were making sexist remarks. I didn't know her, but I felt strongly for her and sorry for her. Her parents had warned her to stay away from people like me who would break her heart. She went to the bathroom to freshen up. She was strong, though. And pushed through the crap.  I also had a loose tooth. When it came out, it had a metal root, very futuristic. Like an implant.  I yelled because I wanted to share this with Kimmi. ""I feel like I am 10 or 12."" I tried to remember when my teeth last came out."
"003"	"(10/22/07)"	"I was back on the island. There were trip leaders (an outdoor group from college) there instead. They were taking us on a mystery trip, but it turned out that they didn't plan well. We were chilling in the Starbucks before we learned of how/when we would depart."
"004"	"(10/22/07)"	"Going through the Arab marketplace. The trowel debate. The sticky, $1500 worth of pot. I knocked some over. But rolled a blue putty joint and smoked it myself. I held it for a long time with my eyes closed."
"005"	"(10/22/07)"	"Plane came down in a very fast water landing. It was supposed to be a crash, but somehow, we managed and came down in just the right spot for transport to the airport"
"006"	"(10/22/07)"	"I was on a Halo map (a video game) against some other island people with alligator people on my team. Most didn't last very long. But Sue, a co-worker I was attracted to, took up a position on a cliff of the map, which consisted of a crashed covenant ship in the middle surrounded by tall cliffs with a long ledge and a valley. After some killing -- after I established by head-shot dominance by killing the people around her and communicating with her through the headset -- we went back to base and lay down. We were tired. Like a game of paintball, we took off our helmets and sat down. Drew (a co-worker on the college newspaper) was there. I proved I could snipe him if I wanted. We got into a fistfight. I punched him a couple times and he needed to go to the bathroom. My co-worker Sue came back. I sat down. Instead of sitting nearby, she lay across my lap. Mixed signals. She changed positions twice, each one more sexual -- straddling me front, then back. My pants were off, as I was cooling down. My underwear wouldn't stay up revealing glimpses. She didn't seem to mind."
"007"	"(10/22/07)"	"It was a big house that one sister had just bought. Not my sister, but a new family that had moved into a house where my family used to live. The visiting sister was pregnant. Very pregnant. She was helping the sister sand the floors in one bedroom. A lot of remodeling needed to be done. They were talking about how the place was had at a good price partially because someone died on the stairs years before. A roll of tape or something dropped and rolled out the door and went down the stairs and stopped halfway down. The pregnant sister went after it. For some reason, nails covered the stairs. Some were sticking up without explanation. The sister got a foreboding feeling and told her pregnant sister to hold onto the rail. The wood on the steps was scratched and had chunks missing from it. She reached for the door, but the seam was gone. It wouldn't open. But then she double took. The seam was back. She opened the door and let the light and outside air come in. She led her sister by the hand to the bottom and outside. She insisted the stay there for a while. The pregnant sister thought she was being silly. Then very sinister sounding rock music with a steady, deep drum and base picked up just inside normal hearing range. There were noises of sex and violence intertwined. She looked inside and felt death. The older sister ran with her younger sister to her old car parked out front, got in, and started driving. The younger sister was starting to get afraid after her initial reaction of skepticism. As they drove away and looked back, the house looked like it was burning, like a gothic building burning in a dim, ashy haze of fire and smoke."
"008"	"(10/22/07)"	"Dreamed that I was in pursuit of an injured bird-like alien. I had maimed it with the covenant carbine. It was like a little tweet bird. I imagined an owl taking me and it, a friend owl, off to a nest for interrogation. But the thing made me think, somehow, I could catch baby owls in my bowels. So it got away temporarily. It flew up slightly higher than a jump. I followed with a little more effort. It went down a tunnel into a larger room filled with broken munitions. I had the rifle and I was able to use several of it other settings. Just holding it, the trigger wasn't readily apparent. I kept making it to a soft targeting laser. I shot at it a few times and it died down on my radar. By the time I got in, it had been drug off by another combatant or skulked off somewhere to die. There were broken pieces of the laser and the sniper on the ground. I picked them up, but they wouldn't equip. Just like picking up an empty weapon. I tried putting them together, but they didn't magically ""click."" Next, I went outside and I was taken down into the belly of the pillar of autumn, which had been resurrected, but completely taken over by the flood. It was nasty. But when I awoke, I was at an outdoor camp with a lot of other guys, rednecks who were on my team, defending our base. This was Halo, the video game, but real. I had the sniper. It was dark, the enemy was far. I could barely see the flint of the enemy snipers' scope. It was closer to America's army. One guy was defending our base-proper down at the temple, where you had to ask quietly and then progressively get louder before toy made it inside to score. The enemy took our flag and made it most of the way back. One of our guys chased them and stopped the carrier right outside his base. I took out the two guys running for it with the sniper. The flag slid down the hill. Enemies were circling from behind to get it. I alerted my camp partially because I didn't want to deal with the mess. As a counter, the guy near their base took their flag, but dropped it just outside. One-handed, I grabbed a brute shot and took out a guy no-scope with the sniper. I grabbed the flag in the same hand as the brute shot and ran to the temple. I made it past spectators, across bridges and stairs, and spit my gum out at the doors."
"009"	"n/a"	"(10/22/07 [nap]) I'm chasing after an artifact in the islands. The small bead-string of land is somewhere remote in the Caribbean. They are pine islands, scrub forests and shanty settlements. Shallow sea and reef lay in between. Large companies have set up some mysterious operations on one of the larger islands, requiring copious amounts of power. The adventure begins when I hijack a twin-engine split-tail seaplane and fly into this island in pursuit of a bad guy. I'm with a close ally in the plane. Someone who I care about and trust. The bad guy has henchmen. They thwart our escape. We incapacitate or kill many of them, but they slow us down enough for the bad guy to escape in a small, single-engine plane. We've been in pursuit for months. I wasn't going to let him get away. In a mad, desperate, injured dash, I make it to my waiting plane. I can't really fly well. But I am co-pilot anyway. The bad guy has a smaller, more maneuverable plane. He takes off through the mess of power lines. At first I don't think it's an issue -- but we soon learn there's no way to blast skyward with the big plane's power with the lines overhead. Instead, we fly low under them and try to accelerate. The bad guy zips out and takes off toward another island."
"010"	"(10/28/07)"	"I was on an island. This place was fairly bare, but there was a local encampment funded by the island's far-off government on the mainland. That was the locus of control and commerce and entertainment for the whole island. Behind the field station, there was a bar that reminded me of a dockside bar I know. I went inside and was at first pitted against a redheaded crazy guy. The fight was completely voluntary, a weekend fight night or something similar. He looked crazy, and I underestimate my own abilities, so I was nervous going in. But when the fight started, I quickly capitalized. I kicked at him and he came in low, trying to grab my legs and take me down. What did I do? I got behind him and put him into a chokehold. There was some rule that forbade me from choking him at a specific angle, so when I was called out by the judge, I adjusted. It took a little longer, but he was on the verge of passing out after a few extra seconds. His face looked like it was going to pop. It turned red, then blue. Then he tapped out. I won. I was tired. I went and sat with my mother at a back table until the next match. We were all sort of refugees here. I was studying at a field station at the island. There are rebels in the nearby hills. They came down one day and decided to raid the station in two waves. The hills were green and rolling, but difficult to scale--and deeper in, there were ravines and forested ridges. The first was terror. I didn't know quite why. But they came in waving AK-47s and roughed us all up. It was almost as if it was a rogue band that went in ahead of the serious group to have a little fun. I ducked out of the back patio and behind one of the three-story house's pillars. They left, and I ran to notify the headmaster we were under attack. Just as I was getting her to understand -- she was saying we should just let them run their course -- there's not much we can do. Bull shit. The second wave came in. I went out to fight them. But the second wave was by far more serious. The point man had what I can only describe as a brute shot. It launched these explosive shells at low velocity. I dodged them. And when the dozen more marauders came over the hill, I evacuated. The second man in the bar I fought was a slightly pudgy, but muscular black guy. He was solid, and fast for his relative size. I told my mother he's stronger than me, but I was still faster. I went at it. My punches connected, and I swept him at the ankles. "
