"n"	"date"	"dream"
"0001"	"(05/30/2015)"	"I'm in the Army, I have been to war, and now am in a large military warehouse. I'm climbing up a huge pile of boxes that are packed with thousands of small black toy trains. An MP comes by and harasses me. I start to climb down from the boxes, toppling them, causing the trains to spill out and onto the floor. I tell the MP nobody pushes me around. I threaten him, and he leaves. I walk to another part of the warehouse, a gymnasium. Off to one side, a small group of black women are watching TV. Otherwise, the area is vacant. In my bare feet, I start to skate on the wood floor. I'm going fast, making large sweeping turns. Then a man with movie star looks grabs me. He's kidnapping me. He and others put me in a car. He keeps telling me not to fight him, but I won't let him go. They drive me to a place where criminals do business. The man in the car wants to kill me. We struggle. He keeps trying to break free. I call to the criminals as they walk past, but it's hard to speak, I make only garbled sounds. Then they hear and see me and approach, and I say to them, ""Kill him."" I wake up moaning those words."
"0002"	"(06/02/2015)"	"I'm in bed with a wild tiger that is biting my hand. To stop the attack, I reach back and squeeze its rear end, then poke its rectum. At first the animal continues to bite, but then finally stops. I wake up.    "
"0003"	"(06/03/2015)"	"I'm in a classroom for adults. It's crowded. I'm sitting in the back, half hidden by other students. The subject is math, my worst subject. Then I look to see if the teacher is there, but she is gone. I move to be closer with the other students. Someone messes my hair. Another teacher, an old man in a suit with wild hair, takes charge of the class. He pesters me. I ask him, ""Do you want to get stabbed?"" He doesn't hear me, and walks away. The others can't seem to tell if my question was real or a joke."
"0004"	"(06/03/2015)"	"I'm in the bathroom brushing my teeth. A tooth implant that in real life must be repaired, and will eventually fail, falls from my mouth. It looks to be made of copper. I'm scared. I call the dentist. A man answers the phone and says the dentist is on the way. Then a black man is on the phone. He seems to be in a night club. There is jazzy music in the background. His voice is casual, elegant, lighthearted and boozy. The dentist walks in. He is young, athletic and stocky, bare-chested. I'm surprised and relieved. I kiss his forehead. I say, ""What brought you here?"" Then I wake up."
"0005"	"(06/03/2015)"	"At a party of some kind I meet a girl known from grammar school. She remains tall, awkward and insecure. We end up in a bedroom where I try to seduce her. She resists. I become affectionate toward her, but she has trouble accepting my feelings.  When I go to the bathroom to pee, one stall is occupied by a boy in a wheelchair. The other is unoccupied, but an anxious man stands in the way. He leaves. The window in the bedroom is open. I think, if we have sex, people will hear us. The girl asks for a tissue, which I get for her. She is so awkward. I wake up."
"0006"	"(06/04/2015)"	"At a crowded seaport, I run into a woman that I had dated twenty years ago. We sit and talk. She puts her hands on my arms and says she still loves me. I feel the same toward her. It feels wonderful. We go for a walk. She once worked here and points out a large flag mast; at its base, there is a small rusty prong. She says it has caught on her clothes many times. I break it off. A policeman or guard arrives. He asks what I've done. I tell him. He puts me under arrest but I knock him down, and kick and pummel him. To create a panic that will help us escape, I grab his pistol and fire it in the air, yelling ""Gun! Gun!"" Then I wake up."
"0007"	"(06/06/2015)"	"I'm staying with a friend in an apartment building that is similar to the one I lived in as a teen. There's a bottle of Coke by the front door.  My friend says someone is looking for me and points out the window. I recognize a man from my unit in Vietnam. I yell to him, ""Gary Owen! Gary Owen!"" the password we used in the jungle when coming in from patrol. But he does not reply. When it's time to go, my friend says to be careful, they are looking to get me. In the hallway, someone stabs me several times. I'm bleeding. I wake up. I'm fearful for several minutes."
"0008"	"(06/06/2015)"	"I'm at a grungy bar. I'm told that the people who want to harm me would like to make a peace offering of 1000 roses. I say that doesn't sound right and point out the cost. A very tall impoverished black man (an Army vet?) enters the bar. He goes from one person to the next asking for money or cigarettes. He comes to me, and blocks my way out. I get up and deliberately walk toward him and tell him, ""No,"" I have nothing to give him. I'm not intimidated by him. I'm going to walk right past him. Then I wake up."
"0009"	"(06/06/2015)"	"I make my way into a private party. It's dark outside. Celebrities are everywhere. I want to meet Paul Newman but can't find him. I return to the party when everyone is gone and steal sunglasses they have left behind. I'm almost found out but manage to sneak away just as the owner of the house, a woman who resembles either my mother or a college professor who wanted to have an affair, returns. I'm wearing sunglasses that I have found. From a safe distance I look back to see who she is but she doesn't appear. I'm eating a bar of chocolate. "
"0010"	"(06/07/2015)"	"It's night. I'm with a half dozen men defending a small position that is part country, part city. Men who would harm us start to advance and surround us. I tell this to another man. We will soon be attacked. I wake up."
"0011"	"(06/07/2015)"	"It's night. I'm returning to my apartment in a dungeon-like building in New York. It's dangerous. I want to get inside. Once in, I see someone banging on the window. I should be frightened but I'm not. The small man tells me about a job offer in social work. He resembles a VN vet seen in a store last week. I go to the interview. A young black man performs a comedic act. Then a young woman tells me about the job. It's clear she has done this many times. She pitches an entry-level job as if it is exciting and desirable. Until I ask, she leaves out the actual work details, which are to administer cognitive tests to children. The location is vague. A female cashier I speak to talks up the job but I'm more interested in her bust than what she says.  I don't want this job. It reminds me of past experiences in life. I don't want it at all. I don't immediately decline, but ask the female interviewer to send me details. Then I walk towards an open area with trees and grass. There is a table with fruit on it. I accidentally drop some on the ground. Several policemen sit at the table for lunch. Recollection ends here."
"0012"	"(06/08/2015)"	"I'm in a classroom. It's dark. The class is made up of Hispanic people, mostly adults. Everyone is lying on the floor. I try to move, but I can't. I repeatedly scream ""Help, I can't move."" No one offers to help. I wake up fearful."
"0013"	"(06/09/2015)"	"In a sort of basement, another man and I are combating a large industrial oven. Its grill is advancing toward us. We can see the blazing fire and embers inside it. The oven advances closer and closer. Finally, the other man grabs me. I say to them, ""Get me away, boys."" And they lift me out of danger, at the same time inspecting me for burns. My fingertips are burned to the bones; they glow like embers. Otherwise, I'm OK."
"0014"	"(06/09/2015)"	"It's morning. I'm in a large rundown hotel room which is part of a single story complex in a rundown area. A bad smell starts to permeate the room. I open the door. Outside, my mother is washing the floor with ammonia. I yell at her.  I say, ""That's ammonia. It's coming into my room. What are you doing? Why didn't you tell me?"" I try to stop her. We begin to fight. She hits me in the legs with the mop. She yells, ""Get out."" My brother appears. We move toward each other aggressively. We're both angry and willing to fight. I say to him, ""Don't do it. Don't do it."" Just before we're about to fight he backs off and I leave."
